history_id,work_id,award_id,award_year,award_no,award_term,status,confidence,remarks
76,PLAM-000076,AKU,1975,74,H2,co_winner,OFFICIAL,
77,PLAM-000077,AKU,1976,75,H1,awarded,OFFICIAL,
78,PLAM-000078,AKU,1977,77,H1,co_winner,OFFICIAL,
79,PLAM-000079,AKU,1977,77,H1,co_winner,OFFICIAL,
80,PLAM-000080,AKU,1977,78,H2,co_winner,OFFICIAL,
81,PLAM-000081,AKU,1977,78,H2,co_winner,OFFICIAL,
82,PLAM-000082,AKU,1978,79,H1,co_winner,OFFICIAL,
83,PLAM-000083,AKU,1978,79,H1,co_winner,OFFICIAL,
84,PLAM-000084,AKU,1979,81,H1,co_winner,OFFICIAL,
85,PLAM-000085,AKU,1979,81,H1,co_winner,OFFICIAL,
86,PLAM-000086,AKU,1979,82,H2,awarded,OFFICIAL,
87,PLAM-000087,AKU,1980,84,H2,awarded,OFFICIAL,
88,PLAM-000088,AKU,1981,85,H1,awarded,OFFICIAL,
89,PLAM-000089,AKU,1982,88,H2,co_winner,OFFICIAL,
90,PLAM-000090,AKU,1982,88,H2,co_winner,OFFICIAL,
91,PLAM-000091,AKU,1983,90,H2,co_winner,OFFICIAL,
92,PLAM-000092,AKU,1983,90,H2,co_winner,OFFICIAL,
93,PLAM-000093,AKU,1984,92,H2,awarded,OFFICIAL,
94,PLAM-000094,AKU,1985,94,H2,awarded,OFFICIAL,
95,PLAM-000095,AKU,1987,97,H1,awarded,OFFICIAL,
96,PLAM-000096,AKU,1987,98,H2,co_winner,OFFICIAL,
97,PLAM-000097,AKU,1987,98,H2,co_winner,OFFICIAL,
98,PLAM-000098,AKU,1988,99,H1,awarded,OFFICIAL,
99,PLAM-000099,AKU,1988,100,H2,co_winner,OFFICIAL,
100,PLAM-000100,AKU,1988,100,H2,co_winner,OFFICIAL,
101,PLAM-000101,AKU,1989,102,H2,co_winner,OFFICIAL,
102,PLAM-000102,AKU,1989,102,H2,co_winner,OFFICIAL,
103,PLAM-000103,AKU,1990,103,H1,awarded,OFFICIAL,
104,PLAM-000104,AKU,1990,104,H2,awarded,OFFICIAL,
105,PLAM-000105,AKU,1991,105,H1,co_winner,OFFICIAL,
106,PLAM-000106,AKU,1991,105,H1,co_winner,OFFICIAL,
107,PLAM-000107,AKU,1991,106,H2,awarded,OFFICIAL,
108,PLAM-000108,AKU,1992,107,H1,awarded,OFFICIAL,
109,PLAM-000109,AKU,1992,108,H2,awarded,OFFICIAL,
110,PLAM-000110,AKU,1993,109,H1,awarded,OFFICIAL,
111,PLAM-000111,AKU,1993,110,H2,awarded,OFFICIAL,
112,PLAM-000112,AKU,1994,111,H1,co_winner,OFFICIAL,
113,PLAM-000113,AKU,1994,111,H1,co_winner,OFFICIAL,
114,PLAM-000242,AKU,1995,113,H1,awarded,OFFICIAL,
115,PLAM-000243,AKU,1995,114,H2,awarded,OFFICIAL,
116,PLAM-000244,AKU,1996,115,H1,awarded,OFFICIAL,
117,PLAM-000245,AKU,1996,116,H2,co_winner,OFFICIAL,
118,PLAM-000246,AKU,1996,116,H2,co_winner,OFFICIAL,
119,PLAM-000247,AKU,1997,117,H1,awarded,OFFICIAL,
120,PLAM-000248,AKU,1998,119,H1,co_winner,OFFICIAL,
121,PLAM-000249,AKU,1998,119,H1,co_winner,OFFICIAL,
122,PLAM-000250,AKU,1998,120,H2,awarded,OFFICIAL,
123,PLAM-000251,AKU,1999,122,H2,co_winner,OFFICIAL,
124,PLAM-000252,AKU,1999,122,H2,co_winner,OFFICIAL,
125,PLAM-000253,AKU,2000,123,H1,co_winner,OFFICIAL,
126,PLAM-000254,AKU,2000,123,H1,co_winner,OFFICIAL,
127,PLAM-000255,AKU,2000,124,H2,co_winner,OFFICIAL,
128,PLAM-000256,AKU,2000,124,H2,co_winner,OFFICIAL,
129,PLAM-000257,AKU,2001,125,H1,awarded,OFFICIAL,
130,PLAM-000258,AKU,2001,126,H2,awarded,OFFICIAL,
131,PLAM-000259,AKU,2002,127,H1,awarded,OFFICIAL,
132,PLAM-000260,AKU,2002,128,H2,awarded,OFFICIAL,
133,PLAM-000261,AKU,2003,129,H1,awarded,OFFICIAL,
134,PLAM-000262,AKU,2003,130,H2,co_winner,OFFICIAL,
135,PLAM-000263,AKU,2003,130,H2,co_winner,OFFICIAL,
136,PLAM-000264,AKU,2004,131,H1,awarded,OFFICIAL,
137,PLAM-000265,AKU,2004,132,H2,awarded,OFFICIAL,
138,PLAM-000266,AKU,2005,133,H1,awarded,OFFICIAL,
139,PLAM-000267,AKU,2005,134,H2,awarded,OFFICIAL,
140,PLAM-000268,AKU,2006,135,H1,awarded,OFFICIAL,
141,PLAM-000269,AKU,2006,136,H2,awarded,OFFICIAL,
142,PLAM-000270,AKU,2007,137,H1,awarded,OFFICIAL,
143,PLAM-000271,AKU,2007,138,H2,awarded,OFFICIAL,
144,PLAM-000272,AKU,2008,139,H1,awarded,OFFICIAL,
145,PLAM-000273,AKU,2008,140,H2,awarded,OFFICIAL,
146,PLAM-000274,AKU,2009,141,H1,awarded,OFFICIAL,
147,PLAM-000314,AKU,2010,143,H1,awarded,OFFICIAL,
148,PLAM-000315,AKU,2010,144,H2,co_winner,OFFICIAL,
149,PLAM-000316,AKU,2010,144,H2,co_winner,OFFICIAL,
150,PLAM-000317,AKU,2011,146,H2,co_winner,OFFICIAL,
151,PLAM-000318,AKU,2011,146,H2,co_winner,OFFICIAL,
152,PLAM-000319,AKU,2012,147,H1,awarded,OFFICIAL,
153,PLAM-000320,AKU,2012,148,H2,awarded,OFFICIAL,
154,PLAM-000321,AKU,2013,149,H1,awarded,OFFICIAL,
155,PLAM-000322,AKU,2013,150,H2,awarded,OFFICIAL,
156,PLAM-000323,AKU,2014,151,H1,awarded,OFFICIAL,
157,PLAM-000324,AKU,2014,152,H2,awarded,OFFICIAL,
158,PLAM-000325,AKU,2015,153,H1,co_winner,OFFICIAL,
159,PLAM-000326,AKU,2015,153,H1,co_winner,OFFICIAL,
160,PLAM-000327,AKU,2015,154,H2,co_winner,OFFICIAL,
161,PLAM-000328,AKU,2015,154,H2,co_winner,OFFICIAL,
162,PLAM-000329,AKU,2016,155,H1,awarded,OFFICIAL,
163,PLAM-000330,AKU,2016,156,H2,awarded,OFFICIAL,
164,PLAM-000331,AKU,2017,157,H1,awarded,OFFICIAL,
165,PLAM-000332,AKU,2017,158,H2,co_winner,OFFICIAL,
166,PLAM-000333,AKU,2017,158,H2,co_winner,OFFICIAL,
167,PLAM-000334,AKU,2018,159,H1,awarded,OFFICIAL,
168,PLAM-000335,AKU,2018,160,H2,co_winner,OFFICIAL,
169,PLAM-000336,AKU,2018,160,H2,co_winner,OFFICIAL,
170,PLAM-000337,AKU,2019,161,H1,awarded,OFFICIAL,
171,PLAM-000338,AKU,2019,162,H2,awarded,OFFICIAL,
172,PLAM-000339,AKU,2020,163,H1,co_winner,OFFICIAL,
173,PLAM-000340,AKU,2020,163,H1,co_winner,OFFICIAL,
174,PLAM-000341,AKU,2020,164,H2,awarded,OFFICIAL,
175,PLAM-000342,AKU,2021,165,H1,co_winner,OFFICIAL,
176,PLAM-000343,AKU,2021,165,H1,co_winner,OFFICIAL,
177,PLAM-000344,AKU,2021,166,H2,awarded,OFFICIAL,
178,PLAM-000345,AKU,2022,167,H1,awarded,OFFICIAL,
179,PLAM-000346,AKU,2022,168,H2,co_winner,OFFICIAL,
180,PLAM-000347,AKU,2022,168,H2,co_winner,OFFICIAL,
181,PLAM-000348,AKU,2023,169,H1,awarded,OFFICIAL,
182,PLAM-000349,AKU,2023,170,H2,awarded,OFFICIAL,
183,PLAM-000350,AKU,2024,171,H1,co_winner,OFFICIAL,
184,PLAM-000351,AKU,2024,171,H1,co_winner,OFFICIAL,
185,PLAM-000352,AKU,2024,172,H2,co_winner,OFFICIAL,
186,PLAM-000353,AKU,2024,172,H2,co_winner,OFFICIAL,
187,PLAM-000393,AKU,2025,174,H2,co_winner,OFFICIAL,
188,PLAM-000394,AKU,2025,174,H2,co_winner,OFFICIAL,
189,PLAM-000568,HKM,2001,1,H1,awarded,REVIEWED,
190,PLAM-000532,HKM,2002,2,H1,awarded,REVIEWED,
191,PLAM-000569,HKM,2003,3,H1,co_winner,REVIEWED,
192,PLAM-000570,HKM,2003,3,H1,co_winner,REVIEWED,
193,PLAM-000537,HKM,2004,4,H1,awarded,REVIEWED,
194,PLAM-000571,HKM,2005,5,H1,awarded,REVIEWED,
195,PLAM-000572,HKM,2006,6,H1,awarded,REVIEWED,
196,PLAM-000573,HKM,2007,7,H1,awarded,REVIEWED,
197,PLAM-000574,HKM,2008,8,H1,awarded,REVIEWED,
198,PLAM-000575,HKM,2009,9,H1,awarded,REVIEWED,
199,PLAM-000576,HKM,2010,10,H1,co_winner,REVIEWED,
200,PLAM-000577,HKM,2010,10,H1,co_winner,REVIEWED,
201,PLAM-000547,HKM,2011,11,H1,awarded,REVIEWED,
202,PLAM-000578,HKM,2012,12,H1,co_winner,REVIEWED,
203,PLAM-000579,HKM,2012,12,H1,co_winner,REVIEWED,
204,PLAM-000580,HKM,2013,13,H1,awarded,REVIEWED,
205,PLAM-000581,HKM,2014,14,H1,awarded,REVIEWED,
206,PLAM-000582,HKM,2015,15,H1,awarded,REVIEWED,
207,PLAM-000583,HKM,2016,16,H1,awarded,REVIEWED,
208,PLAM-000584,HKM,2017,17,H1,awarded,REVIEWED,
209,PLAM-000585,HKM,2018,18,H1,awarded,REVIEWED,
210,PLAM-000586,HKM,2019,19,H1,awarded,REVIEWED,
211,PLAM-000587,HKM,2020,20,H1,awarded,REVIEWED,
212,PLAM-000560,HKM,2021,21,H1,awarded,REVIEWED,
213,PLAM-000561,HKM,2022,22,H1,co_winner,REVIEWED,
214,PLAM-000382,HKM,2022,22,H1,co_winner,REVIEWED,
215,PLAM-000588,HKM,2023,23,H1,awarded,REVIEWED,
216,PLAM-000564,HKM,2024,24,H1,awarded,REVIEWED,
217,PLAM-000589,HKM,2025,25,H1,awarded,REVIEWED,
218,PLAM-000590,HKM,2026,26,H1,awarded,REVIEWED,
219,PLAM-000395,HON,2004,1,H1,awarded,OFFICIAL,
220,PLAM-000396,HON,2005,2,H1,awarded,OFFICIAL,
221,PLAM-000397,HON,2006,3,H1,awarded,OFFICIAL,
222,PLAM-000398,HON,2007,4,H1,awarded,OFFICIAL,
223,PLAM-000399,HON,2008,5,H1,awarded,OFFICIAL,
224,PLAM-000400,HON,2009,6,H1,awarded,OFFICIAL,
225,PLAM-000401,HON,2010,7,H1,awarded,OFFICIAL,
226,PLAM-000402,HON,2011,8,H1,awarded,OFFICIAL,
227,PLAM-000403,HON,2012,9,H1,awarded,OFFICIAL,
228,PLAM-000404,HON,2013,10,H1,awarded,OFFICIAL,
229,PLAM-000405,HON,2014,11,H1,awarded,OFFICIAL,
230,PLAM-000406,HON,2015,12,H1,awarded,OFFICIAL,
231,PLAM-000407,HON,2016,13,H1,awarded,OFFICIAL,
232,PLAM-000370,HON,2017,14,H1,awarded,OFFICIAL,
233,PLAM-000408,HON,2018,15,H1,awarded,OFFICIAL,
234,PLAM-000409,HON,2019,16,H1,awarded,OFFICIAL,
235,PLAM-000410,HON,2020,17,H1,awarded,OFFICIAL,
236,PLAM-000411,HON,2021,18,H1,awarded,OFFICIAL,
237,PLAM-000412,HON,2022,19,H1,awarded,OFFICIAL,
238,PLAM-000413,HON,2023,20,H1,awarded,OFFICIAL,
239,PLAM-000414,HON,2024,21,H1,awarded,OFFICIAL,
240,PLAM-000415,HON,2025,22,H1,awarded,OFFICIAL,
241,PLAM-000416,HON,2026,23,H1,awarded,OFFICIAL,
242,PLAM-000770,HOR,1995,2,H1,awarded,REVIEWED,
243,PLAM-000771,HOR,1997,4,H1,awarded,REVIEWED,
244,PLAM-000602,HOR,1999,6,H1,awarded,REVIEWED,
245,PLAM-000772,HOR,2001,8,H1,awarded,REVIEWED,
246,PLAM-000773,HOR,2003,10,H1,awarded,REVIEWED,
247,PLAM-000774,HOR,2005,12,H1,awarded,REVIEWED,
248,PLAM-000775,HOR,2008,15,H1,awarded,REVIEWED,
249,PLAM-000776,HOR,2009,16,H1,awarded,REVIEWED,
250,PLAM-000777,HOR,2010,17,H1,awarded,REVIEWED,
251,PLAM-000778,HOR,2012,19,H1,awarded,REVIEWED,
252,PLAM-000779,HOR,2014,21,H1,awarded,REVIEWED,
253,PLAM-000780,HOR,2015,22,H1,awarded,REVIEWED,
254,PLAM-000781,HOR,2018,25,H1,co_winner,REVIEWED,最終回（翌年から横溝正史ミステリ&ホラー大賞に統合）
255,PLAM-000782,HOR,2018,25,H1,co_winner,REVIEWED,最終回
256,PLAM-000497,JRA,1978,31,H1,co_winner,VERIFIED,
257,PLAM-000498,JRA,1978,31,H1,co_winner,VERIFIED,
258,PLAM-000499,JRA,1979,32,H1,co_winner,VERIFIED,
259,PLAM-000500,JRA,1979,32,H1,co_winner,VERIFIED,
260,PLAM-000501,JRA,1981,34,H1,awarded,VERIFIED,
261,PLAM-000502,JRA,1982,35,H1,awarded,VERIFIED,
262,PLAM-000503,JRA,1983,36,H1,awarded,VERIFIED,
263,PLAM-000504,JRA,1984,37,H1,awarded,VERIFIED,
264,PLAM-000505,JRA,1985,38,H1,co_winner,VERIFIED,
265,PLAM-000506,JRA,1985,38,H1,co_winner,VERIFIED,
266,PLAM-000507,JRA,1986,39,H1,co_winner,VERIFIED,
267,PLAM-000508,JRA,1986,39,H1,co_winner,VERIFIED,
268,PLAM-000216,JRA,1987,40,H1,co_winner,VERIFIED,
269,PLAM-000509,JRA,1987,40,H1,co_winner,VERIFIED,
270,PLAM-000510,JRA,1988,41,H1,awarded,VERIFIED,
271,PLAM-000511,JRA,1989,42,H1,co_winner,VERIFIED,
272,PLAM-000512,JRA,1989,42,H1,co_winner,VERIFIED,
273,PLAM-000513,JRA,1990,43,H1,awarded,VERIFIED,
274,PLAM-000514,JRA,1991,44,H1,awarded,VERIFIED,
275,PLAM-000515,JRA,1992,45,H1,co_winner,VERIFIED,
276,PLAM-000516,JRA,1992,45,H1,co_winner,VERIFIED,
277,PLAM-000517,JRA,1993,46,H1,awarded,VERIFIED,
278,PLAM-000518,JRA,1994,47,H1,awarded,VERIFIED,
279,PLAM-000519,JRA,1995,48,H1,co_winner,VERIFIED,
280,PLAM-000520,JRA,1995,48,H1,co_winner,VERIFIED,
281,PLAM-000521,JRA,1996,49,H1,co_winner,VERIFIED,
282,PLAM-000522,JRA,1996,49,H1,co_winner,VERIFIED,
283,PLAM-000523,JRA,1997,50,H1,awarded,VERIFIED,
284,PLAM-000524,JRA,1998,51,H1,co_winner,VERIFIED,
285,PLAM-000525,JRA,1998,51,H1,co_winner,VERIFIED,
286,PLAM-000526,JRA,1999,52,H1,co_winner,VERIFIED,
287,PLAM-000527,JRA,1999,52,H1,co_winner,VERIFIED,
288,PLAM-000528,JRA,2000,53,H1,co_winner,VERIFIED,
289,PLAM-000529,JRA,2000,53,H1,co_winner,VERIFIED,
290,PLAM-000530,JRA,2001,54,H1,co_winner,VERIFIED,
291,PLAM-000531,JRA,2001,54,H1,co_winner,VERIFIED,
292,PLAM-000532,JRA,2002,55,H1,co_winner,VERIFIED,
293,PLAM-000533,JRA,2002,55,H1,co_winner,VERIFIED,
294,PLAM-000534,JRA,2003,56,H1,co_winner,VERIFIED,
295,PLAM-000535,JRA,2003,56,H1,co_winner,VERIFIED,
296,PLAM-000536,JRA,2004,57,H1,co_winner,VERIFIED,
297,PLAM-000537,JRA,2004,57,H1,co_winner,VERIFIED,
298,PLAM-000538,JRA,2005,58,H1,co_winner,VERIFIED,
299,PLAM-000539,JRA,2005,58,H1,co_winner,VERIFIED,
300,PLAM-000540,JRA,2006,59,H1,awarded,VERIFIED,
301,PLAM-000541,JRA,2007,60,H1,awarded,VERIFIED,
302,PLAM-000542,JRA,2008,61,H1,awarded,VERIFIED,
303,PLAM-000543,JRA,2009,62,H1,co_winner,VERIFIED,
304,PLAM-000544,JRA,2009,62,H1,co_winner,VERIFIED,
305,PLAM-000545,JRA,2010,63,H1,co_winner,VERIFIED,
306,PLAM-000546,JRA,2010,63,H1,co_winner,VERIFIED,
307,PLAM-000547,JRA,2011,64,H1,co_winner,VERIFIED,
308,PLAM-000548,JRA,2011,64,H1,co_winner,VERIFIED,
309,PLAM-000549,JRA,2012,65,H1,awarded,VERIFIED,
310,PLAM-000550,JRA,2013,66,H1,awarded,VERIFIED,
311,PLAM-000551,JRA,2014,67,H1,awarded,VERIFIED,
312,PLAM-000552,JRA,2015,68,H1,co_winner,VERIFIED,
313,PLAM-000553,JRA,2015,68,H1,co_winner,VERIFIED,
314,PLAM-000554,JRA,2016,69,H1,awarded,VERIFIED,
315,PLAM-000555,JRA,2017,70,H1,awarded,VERIFIED,
316,PLAM-000556,JRA,2018,71,H1,awarded,VERIFIED,
317,PLAM-000557,JRA,2019,72,H1,awarded,VERIFIED,
318,PLAM-000558,JRA,2020,73,H1,awarded,VERIFIED,
319,PLAM-000559,JRA,2021,74,H1,co_winner,VERIFIED,
320,PLAM-000560,JRA,2021,74,H1,co_winner,VERIFIED,
321,PLAM-000561,JRA,2022,75,H1,awarded,VERIFIED,
322,PLAM-000562,JRA,2023,76,H1,co_winner,VERIFIED,
323,PLAM-000563,JRA,2023,76,H1,co_winner,VERIFIED,
324,PLAM-000564,JRA,2024,77,H1,co_winner,VERIFIED,
325,PLAM-000565,JRA,2024,77,H1,co_winner,VERIFIED,
326,PLAM-000566,JRA,2025,78,H1,awarded,VERIFIED,
327,PLAM-000567,JRA,2026,79,H1,awarded,VERIFIED,
328,PLAM-000712,JSF,1980,1,H1,awarded,REVIEWED,
329,PLAM-000713,JSF,1981,2,H1,awarded,REVIEWED,
330,PLAM-000714,JSF,1982,3,H1,awarded,REVIEWED,
331,PLAM-000715,JSF,1983,4,H1,awarded,REVIEWED,漫画作品
332,PLAM-000716,JSF,1984,5,H1,awarded,REVIEWED,
333,PLAM-000717,JSF,1985,6,H1,awarded,REVIEWED,
334,PLAM-000718,JSF,1986,7,H1,awarded,REVIEWED,
335,PLAM-000719,JSF,1987,8,H1,awarded,REVIEWED,
336,PLAM-000720,JSF,1988,9,H1,co_winner,REVIEWED,
337,PLAM-000721,JSF,1988,9,H1,co_winner,REVIEWED,共著
338,PLAM-000722,JSF,1989,10,H1,awarded,REVIEWED,
339,PLAM-000723,JSF,1990,11,H1,awarded,REVIEWED,
340,PLAM-000724,JSF,1991,12,H1,awarded,REVIEWED,
341,PLAM-000725,JSF,1992,13,H1,awarded,REVIEWED,
342,PLAM-000726,JSF,1993,14,H1,awarded,REVIEWED,
343,PLAM-000727,JSF,1994,15,H1,co_winner,REVIEWED,
344,PLAM-000728,JSF,1994,15,H1,co_winner,REVIEWED,SF評論
345,PLAM-000729,JSF,1995,16,H1,awarded,REVIEWED,
346,PLAM-000730,JSF,1996,17,H1,awarded,REVIEWED,映画作品
347,PLAM-000731,JSF,1997,18,H1,co_winner,REVIEWED,
348,PLAM-000732,JSF,1997,18,H1,co_winner,REVIEWED,アニメ作品
349,PLAM-000733,JSF,1998,19,H1,awarded,REVIEWED,
350,PLAM-000734,JSF,1999,20,H1,awarded,REVIEWED,
351,PLAM-000735,JSF,2000,21,H1,awarded,REVIEWED,SF評論集（編著）
352,PLAM-000736,JSF,2001,22,H1,awarded,REVIEWED,
353,PLAM-000533,JSF,2002,23,H1,co_winner,REVIEWED,
354,PLAM-000737,JSF,2002,23,H1,co_winner,REVIEWED,
355,PLAM-000738,JSF,2003,24,H1,awarded,REVIEWED,
356,PLAM-000739,JSF,2004,25,H1,awarded,REVIEWED,アニメ映画作品
357,PLAM-000740,JSF,2005,26,H1,awarded,REVIEWED,
358,PLAM-000741,JSF,2006,27,H1,awarded,REVIEWED,漫画作品
359,PLAM-000742,JSF,2007,28,H1,awarded,REVIEWED,ノンフィクション・評伝
360,PLAM-000743,JSF,2008,29,H1,co_winner,REVIEWED,
361,PLAM-000744,JSF,2008,29,H1,co_winner,REVIEWED,アニメ作品
362,PLAM-000745,JSF,2009,30,H1,awarded,REVIEWED,
363,PLAM-000746,JSF,2010,31,H1,co_winner,REVIEWED,SF評論
364,PLAM-000747,JSF,2010,31,H1,co_winner,REVIEWED,
365,PLAM-000748,JSF,2011,32,H1,awarded,REVIEWED,
366,PLAM-000749,JSF,2012,33,H1,co_winner,REVIEWED,
367,PLAM-000750,JSF,2012,33,H1,co_winner,REVIEWED,
368,PLAM-000751,JSF,2013,34,H1,awarded,REVIEWED,
369,PLAM-000752,JSF,2014,35,H1,co_winner,REVIEWED,
370,PLAM-000753,JSF,2014,35,H1,co_winner,REVIEWED,
371,PLAM-000754,JSF,2015,36,H1,co_winner,REVIEWED,
372,PLAM-000755,JSF,2015,36,H1,co_winner,REVIEWED,
373,PLAM-000756,JSF,2016,37,H1,awarded,REVIEWED,漫画作品
374,PLAM-000623,JSF,2017,38,H1,co_winner,REVIEWED,
375,PLAM-000757,JSF,2017,38,H1,co_winner,REVIEWED,
376,PLAM-000758,JSF,2018,39,H1,co_winner,REVIEWED,
377,PLAM-000759,JSF,2018,39,H1,co_winner,REVIEWED,
378,PLAM-000760,JSF,2019,40,H1,co_winner,REVIEWED,
379,PLAM-000761,JSF,2019,40,H1,co_winner,REVIEWED,
380,PLAM-000762,JSF,2020,41,H1,co_winner,REVIEWED,
381,PLAM-000763,JSF,2020,41,H1,co_winner,REVIEWED,
382,PLAM-000764,JSF,2021,42,H1,awarded,REVIEWED,漫画作品
383,PLAM-000765,JSF,2022,43,H1,co_winner,REVIEWED,SF評論集
384,PLAM-000766,JSF,2022,43,H1,co_winner,REVIEWED,
385,PLAM-000767,JSF,2023,44,H1,awarded,REVIEWED,
386,PLAM-000768,JSF,2024,45,H1,awarded,REVIEWED,漫画作品
387,PLAM-000769,JSF,2025,46,H1,awarded,REVIEWED,SF翻訳評論集成
388,PLAM-000512,KMS,1988,1,H1,awarded,REVIEWED,第1回（年号表記変更のため1990年版は欠番）
389,PLAM-000227,KMS,1989,2,H1,awarded,REVIEWED,第2回
390,PLAM-000514,KMS,1991,3,H1,awarded,REVIEWED,第3回（1990年版欠番のため1991年版が第3回）
391,PLAM-000692,KMS,1992,4,H1,awarded,REVIEWED,第4回
392,PLAM-000594,KMS,1993,5,H1,awarded,REVIEWED,第5回
